Country,Security Risk
AFG,58
AGO,51
ALB,43
ARE,36
ARG,41
ARM,56
ATG,55
AUS,38
AUT,27
AZE,67
BDI,61
BEL,32
BEN,46
BFA,52
BGD,58
BGR,35
BHR,62
BHS,53
BIH,50
BLR,53
BLZ,51
BMU,57
BOL,49
BRA,42
BRB,42
BRN,50
BTN,37
BWA,39
CAF,57
CAN,30
CHE,28
CHL,37
CHN,60
CIV,46
CMR,58
COD,60
COG,50
COL,50
COM,54
CPV,43
CRI,40
CUB,49
CYM,52
CYP,44
CZE,32
DEU,28
DJI,60
DMA,67
DNK,26
DOM,44
DZA,56
ECU,53
EGY,55
ERI,63
ESP,37
EST,28
ETH,61
FIN,21
FJI,54
FRA,32
GAB,47
GBR,32
GEO,49
GHA,33
GIN,51
GMB,38
GNB,51
GNQ,48
GRC,47
GRD,45
GTM,52
GUY,46
HKG,52
HND,55
HRV,39
HTI,65
HUN,38
IDN,41
IND,49
IRL,28
IRN,60
IRQ,61
ISL,33
ISR,60
ITA,38
JAM,45
JOR,52
JPN,34
KAZ,45
KEN,53
KGZ,58
KHM,59
KIR,60
KNA,48
KOR,40
KWT,36
LAO,55
LBN,68
LBR,51
LBY,74
LCA,46
LKA,49
LSO,45
LTU,29
LUX,30
LVA,28
MAC,42
MAR,50
MDA,36
MDG,54
MDV,49
MEX,57
MKD,54
MLI,59
MLT,33
MMR,65
MNE,45
MNG,48
MOZ,57
MRT,59
MUS,34
MWI,51
MYS,37
NAM,35
NER,50
NGA,43
NIC,56
NLD,31
NOR,24
NPL,50
NZL,34
OMN,53
PAK,60
PAN,35
PER,45
PHL,50
PNG,45
POL,34
PRK,72
PRT,34
PRY,41
PSE,66
QAT,37
ROU,37
RUS,62
RWA,45
SAU,53
SDN,63
SEN,42
SGP,32
SLB,53
SLE,37
SLV,54
SOM,70
SRB,55
SSD,66
STP,37
SUR,38
SVK,31
SVN,28
SWE,23
SWZ,59
SYC,38
SYR,70
TCD,63
TGO,50
THA,43
TJK,56
TKM,57
TLS,49
TON,69
TTO,51
TUN,51
TUR,68
TUV,64
TWN,49
TZA,40
UGA,51
UKR,58
URY,34
USA,43
UVK,55
UZB,53
VCT,53
VEN,58
VNM,51
VUT,55
WSM,47
YEM,67
ZAF,48
ZMB,40
ZWE,59
